,0,1
0,1,1
1,1,2
2,1,3
3,1,4
4,1,5
5,2,5
6,3,5
7,4,5
8,5,5
9,5,4
10,5,3
11,6,3
12,7,3
13,8,3
14,9,3
15,10,3
16,11,3
17,11,2
18,11,1
19,12,1
20,11,1
21,12,1
22,13,1
23,13,2
24,13,3
25,13,4
26,13,5
27,14,5
28,15,5
29,16,5
30,17,5
31,18,5
32,19,5
33,19,4
34,19,3
35,20,3
36,21,3
37,22,3
38,23,3
39,23,4
40,23,5
41,22,5
42,21,5
43,21,6
44,21,7
45,20,7
46,19,7
47,19,8
48,19,9
49,18,9
50,17,9
51,17,10
52,17,11
53,18,11
54,19,11
55,20,11
56,21,11
57,21,10
58,21,9
59,22,9
60,23,9
61,24,9
62,25,9
63,25,8
64,25,7
65,25,6
66,25,5
67,26,5
68,27,5
69,28,5
70,29,5
71,30,5
72,31,5
73,32,5
74,33,5
75,34,5
76,35,5
77,35,6
78,35,7
79,34,7
80,33,7
81,33,8
82,33,9
83,32,9
84,31,9
85,30,9
86,29,9
87,29,8
88,29,7
89,28,7
90,27,7
91,27,8
92,27,9
93,27,10
94,27,11
95,27,12
96,27,13
97,28,13
98,29,13
99,29,14
100,29,15
101,28,15
102,27,15
103,26,15
104,25,15
105,24,15
106,23,15
107,23,14
108,23,13
109,22,13
110,21,13
111,21,14
112,21,13
113,21,14
114,21,15
115,20,15
116,19,15
117,19,16
118,19,17
119,18,17
120,17,17
121,16,17
122,15,17
123,14,17
124,13,17
125,12,17
126,13,17
127,12,17
128,11,17
129,11,16
130,11,15
131,11,14
132,11,13
133,10,13
134,9,13
135,9,14
136,9,15
137,8,15
138,7,15
139,7,16
140,7,17
141,7,16
142,7,17
143,7,18
144,7,19
145,8,19
146,9,19
147,9,20
148,9,21
149,8,21
150,7,21
151,6,21
152,5,21
153,5,20
154,5,19
155,4,19
156,3,19
157,3,18
158,3,17
159,3,16
160,3,15
161,2,15
162,1,15
163,1,16
164,1,17
165,1,18
166,1,19
167,1,20
168,1,21
169,2,21
170,3,21
171,3,22
172,3,23
173,3,24
174,3,25
175,2,25
176,1,25
177,1,26
178,1,27
179,2,27
180,3,27
181,4,27
182,5,27
183,6,27
184,7,27
185,8,27
186,9,27
187,10,27
188,11,27
189,12,27
190,13,27
191,13,26
192,13,25
193,13,24
194,13,23
195,12,23
196,11,23
197,11,22
198,11,21
199,12,21
200,13,21
201,14,21
202,15,21
203,15,20
204,15,19
205,16,19
206,17,19
207,18,19
208,19,19
209,20,19
210,21,19
211,22,19
212,23,19
213,23,18
214,23,17
215,24,17
216,25,17
